id	amd_status	amd_equivalent	confidence	openness	amd_fit	eco_leverage	evidence_strength	gap_title	affected	amd_action	evidence
C055	community	Upstream community mujoco_ros2_control runs on AMD CPUs; MuJoCo is Apache 2.0 and hardware agnostic	med	3	2	2	2	No AMD-validated MuJoCo ros2_control bridge with GPU-rendered RGB-D and lidar sensor plugins	ROS 2 teams doing hardware-in-the-loop and controller simulation on AMD	Add mujoco_ros2_control to AMD Robotics Software Suite CI with ROCm-backed sensor rendering	https://github.com/google-deepmind/mujoco
C056	none	-	high	1	2	2	3	No open extensible 3D and digital-twin application runtime AMD can build on without Omniverse Enterprise licensing	ISVs and simulation partners building digital twin applications on AMD platforms	Back an open runtime such as O3DE or Gazebo with ROCm rendering as a declared Omniverse Kit alternative	https://github.com/NVIDIA-Omniverse/kit-app-template
C057	n/a	OpenUSD itself is open and vendor-neutral under AOUSD and the Linux Foundation; data interchange is CPU-side	high	-	-	-	-	-	-	-	https://github.com/NVIDIA-Omniverse/usd-exchange
C058	partial	gsplat 3D Gaussian Splatting enabled and documented on ROCm in two AMD ROCm blog posts	med	3	3	3	3	No real-capture-to-simulation neural reconstruction pipeline that feeds reconstructed scenes into a robot simulator	Teams building simulation scenes from real robot sensor captures on AMD	Publish a ROCm gsplat to Gazebo or MuJoCo scene export reference so captures become simulatable assets	https://rocm.blogs.amd.com/blog/2025.html
C059	community	Gazebo ros_gz bridge and community MuJoCo ROS 2 wrappers, hardware agnostic but not AMD maintained	med	3	2	2	2	No AMD-published versioned simulation-plus-ROS 2 reference workspace or container pinning known-good versions	ROS 2 developers standing up simulation CI on AMD hardware	Publish a versioned ROCm simulation and ROS 2 workspace container inside the Robotics Software Suite	https://newsroom.amd.com/news/aai-2026-kria-robotics-dev-platform/
C060	n/a	URDF, SDF and MJCF importers are CPU-side format converters, native in Gazebo and MuJoCo	high	-	-	-	-	-	-	-	https://github.com/isaac-sim/urdf-importer-extension
C061	none	-	med	2	2	1	2	No medical or surgical robot sensor-physics simulation reference on AMD despite AMD presence in medical imaging silicon	Medical robotics ISVs already shipping on AMD embedded imaging platforms	Partner one surgical-simulation ISV through the AMD Robotics Partner Network on a ROCm ultrasound or endoscope sensor sim reference	https://github.com/isaac-for-healthcare/i4h-physics-simulation
C063	none	-	med	2	3	2	2	No world-model-driven synthetic trajectory generation path on ROCm	Teams trying to scale demonstration data beyond human teleoperation capture	Validate one open video world model on ROCm and publish a trajectory-generation recipe with throughput numbers	https://github.com/NVIDIA/GR00T-Dreams
C064	none	-	med	2	3	3	3	No AMD-runnable world foundation model path; Cosmos ships CUDA-optimized and there is no ROCm first-party equivalent	Everyone building physical-AI data engines and sim-to-real pipelines on AMD	Fund ROCm inference enablement for one open world foundation model and publish measured generation throughput on MI300X	https://investor.nvidia.com/news/press-release-details/2026/NVIDIA-and-Global-Robotics-Leaders-Take-Physical-AI-to-the-Real-World/
C065	none	-	med	2	3	3	2	No GPU-accelerated video and episode dataset curation pipeline on ROCm despite AMD shipping VCN decode hardware	Robot data teams filtering and scoring large demonstration and video corpora	Build a rocDecode-backed curation reference doing dedup, captioning and quality filtering over LeRobot datasets	https://www.roboticscenter.ai/state-of-robotics-2026
C066	none	-	low	2	2	1	2	No generated-video or rollout quality scoring toolkit available on AMD	Teams training or fine-tuning world models and generative sim on AMD	Port open video-quality and physics-plausibility metrics to ROCm as part of a world-model evaluation suite	https://github.com/NVIDIA/cosmos-evaluator
C067	none	-	low	2	2	1	2	No AMD-maintained or ROCm-validated neural video tokenizer for world models, and the reference repo is archived	World foundation model researchers needing latent video tokenization on AMD	Validate one open video tokenizer on ROCm and add it to the ROCm model zoo with benchmark numbers	https://github.com/NVIDIA/Cosmos-Tokenizer
C068	none	-	med	1	2	3	3	No ROCm-runnable 6D pose foundation model for novel-object manipulation	bin-picking and manipulation teams on AMD GPUs	Port the CUDA extensions FoundationPose depends on (nvdiffrast, custom raycasting) to HIP and publish a ROCm container	https://github.com/NVlabs/FoundationPose
C069	partial	Stock PyTorch-ROCm inference of the open FoundationStereo weights	med	1	2	3	2	No AMD-validated real-time stereo depth node; the accelerated Fast-FoundationStereo path is TensorRT/NITROS only	stereo-camera robots not built on Jetson	Benchmark FoundationStereo via ONNX/MIGraphX on Ryzen AI and MI300X and wrap it as a ROS 2 node	https://github.com/NVlabs/FoundationStereo
C070	partial	Generic detectors in the Vitis AI and Ryzen AI model zoos	med	1	3	2	2	No synthetic-data-trained indoor object detector tuned as a pose-estimation front end on AMD NPUs	warehouse and indoor manipulation integrators on Kria and Ryzen AI	Train and publish one synthetic-data detector checkpoint compiled for the Ryzen AI and Kria NPUs	https://onnxruntime.ai/docs/execution-providers/Vitis-AI-ExecutionProvider.html
C071	none	-	med	3	2	2	3	No cross-embodiment navigation policy that can be trained without Isaac Sim	AMR and mobility teams training navigation policies on AMD	Reproduce COMPASS inference on ROCm from the Apache-2.0 release and document a non-Isaac-Sim training substitute	https://github.com/NVlabs/COMPASS
C073	partial	AMD can consume the Hugging Face datasets but ships no first-party robotics dataset	med	2	2	3	3	No AMD-hosted or AMD-validated open robotics dataset; the data flywheel accrues entirely to NVIDIA	policy training teams choosing a compute vendor by data availability	Publish a ROCm-verified loader and training recipe over the open Physical AI datasets and co-release one AMD-collected dataset	https://developer.nvidia.com/isaac/sim
C074	none	-	med	1	3	3	3	No end-to-end synthetic data generation pipeline reference on ROCm; SDG workflows assume Omniverse and Cosmos	teams needing training data without Omniverse licences or NVIDIA render farms	Publish a reference SDG pipeline on ROCm combining Genesis or Blender rendering with a ROCm diffusion augmentation step	https://github.com/NVIDIA/physical-ai-data-factory
C075	partial	AMD Quark plus the Vitis AI quantizer/compiler and Ryzen AI ONNX flow	med	1	3	3	2	AMD covers quantize and compile but has no task-level fine-tuning or post-training toolkit for vision models	edge vision developers doing transfer learning on Kria and Ryzen AI Embedded	Extend Quark and Vitis AI with fine-tuning recipes for a handful of detection and segmentation backbones	https://onnxruntime.ai/docs/execution-providers/Vitis-AI-ExecutionProvider.html
C077	none	-	med	2	2	2	2	No packaged, ready-to-run humanoid control policies distributed for AMD compute	humanoid developers wanting a working locomotion baseline out of the box	Republish one open humanoid locomotion checkpoint with a ROCm inference container and a ROS 2 wrapper	corpus:nvidia-isaac-rosgithubio-b4d3888a39.txt
C078	none	-	med	2	2	2	3	No humanoid loco-manipulation training workflow that runs outside Isaac Lab	humanoid teams needing a reproducible whole-body-control training recipe on AMD	Reproduce a WBC-style loco-manipulation curriculum on a ROCm-capable simulator and publish the config	https://github.com/nvidia-isaac/WBC-AGILE
C079	none	-	med	2	2	1	3	No spatial-memory 3D action policy stack on AMD; the mapping backbone it builds on is CUDA-only	research teams combining volumetric mapping with manipulation policies	Track a ROCm volumetric mapping backend first, since the policy layer is blocked on the CUDA map representation	https://github.com/nvidia-isaac/nvblox_mindmap
C080	none	-	med	3	2	2	3	No vendor-neutral policy benchmark suite runnable on AMD; evaluation standards are being set inside Isaac Sim	anyone needing comparable VLA and manipulation policy scores across vendors	Port a subset of the Apache-2.0 eval tasks to a simulator with a ROCm backend so AMD numbers are comparable	https://github.com/isaac-sim/IsaacLabEvalTasks
C081	partial	Generic Kubernetes and Slurm with the ROCm k8s device plugin	low	2	2	2	2	No reference robotics sim-train-eval orchestration recipe for ROCm clusters	teams scaling synthetic data, training and evaluation jobs on Instinct clusters	Publish one worked YAML pipeline running sim, train and eval stages on a ROCm Kubernetes cluster	https://www.linkedin.com/pulse/from-experiments-production-how-nvidia-osmo-azure-aaron-schnieder-zpqte
C082	n/a	-	high	-	-	-	-	-	-	-	https://github.com/nvidia-isaac/isaac_mission_dispatch
C083	n/a	-	high	-	-	-	-	-	-	-	https://github.com/nvidia-isaac/isaac_mission_control
C084	n/a	-	med	-	-	-	-	-	-	-	corpus:nvidia-isaac-rosgithubio-b4d3888a39.txt
C085	n/a	-	high	-	-	-	-	-	-	-	https://github.com/nvidia-isaac/ota-file-service
C086	partial	Kria app packaging and the announced Kria AI Robotics Developer Platform software libraries	med	2	3	3	2	No packaged edge AI microservice framework (ingest, inference, storage, REST APIs) for Kria or Ryzen AI Embedded	integrators deploying camera-AI microservices on AMD edge SoCs	Ship a reference microservice bundle for the Kria AI Robotics Developer Platform before its Q4 2026 GA	https://github.com/NVIDIA-AI-IOT/jetson-platform-services
C087	none	-	med	3	3	2	3	No ROCm-accelerated routing or decision-optimization solver; only CPU solvers such as OR-Tools and HiGHS are available	warehouse fleet operators and logistics platforms wanting AMD GPUs	HIPify the Apache-2.0 cuOpt CUDA kernels and publish a ROCm build of the routing solver	https://github.com/NVIDIA/cuopt
C088	community	Generic ROS 2 tooling (ros2 topic hz, diagnostics, Foxglove) with no AMD-maintained equivalent	low	2	2	2	1	No AMD-maintained robot health monitor and no amd-smi to ROS 2 telemetry bridge for accelerated pipelines	fleet operators debugging dropped-frame and stalled-pipeline failures on AMD compute	Publish a small ROS 2 node exposing amd-smi GPU and NPU telemetry as diagnostics topics	https://github.com/orgs/NVIDIA-ISAAC-ROS/repositories?type=all
C089	n/a	-	high	-	-	-	-	-	-	-	https://github.com/nvidia-isaac/lichtblick
C090	none	-	med	3	2	2	2	No accelerated rosbag record/validate/convert tooling on the AMD side	Robot data teams logging multi-camera sensor data on AMD edge boxes	Add rosbag2 validation and H.264 conversion utilities using VCU/VA-API decode to the AMD Robotics Software Suite	https://www.amd.com/en/products/system-on-modules/kria/ai.html
C091	partial	AMD Solution Blueprints plus AMD Inference Microservice in the Enterprise AI Suite	med	2	3	2	2	No video-search-and-summarization agent blueprint published on ROCm	Integrators building camera-fleet Q and A or VLM video analytics on Instinct	Publish a VSS-equivalent blueprint chaining VLM plus vector DB plus ASR on ROCm	https://rocm.blogs.amd.com/blog/2025.html
C092	partial	TUV SUD certified AMD functional safety design flow plus Zynq-7000 SIL3 on-chip redundancy concept	high	1	3	3	3	No integrated AI-compute-plus-safety-island robotics SoC or safety-certified AI runtime	Cobot and AMR OEMs needing SIL2/SIL3 alongside VLA inference on one module	Publish a safety concept architecture pairing X100 AI compute with a Spartan/Zynq safety island	https://www.amd.com/en/products/adaptive-socs-and-fpgas/technologies/functional-safety.html
C093	partial	AMD adaptive SoC medical portfolio plus TUV-certified FuSa flow plus Imaging Solution Blueprint on Radeon	med	1	2	2	2	No Holoscan-equivalent low-latency sensor-to-inference SDK packaged for regulated medical pipelines	Medical device OEMs building endoscopy/ultrasound/surgical edge products	Package the Kria plus ROCm sensor pipeline as a documented medical reference platform with FuSa artifacts	https://www.amd.com/en/products/adaptive-socs-and-fpgas/technologies/functional-safety.html
C094	n/a	-	med	-	-	-	-	-	-	-	https://github.com/orgs/NVIDIA-ISAAC/repositories
C095	none	-	low	3	3	2	1	No published sensor-to-actuation latency measurement and V and V tool for AMD robotics platforms	Safety and real-time engineers who must certify camera-to-control timing	Ship an FPGA-timestamped latency measurement reference design on the Kria AI Robotics Developer Platform	https://www.amd.com/en/products/system-on-modules/kria/ai/robotics-developer-platform.html
C096	partial	Kria Robotics Stack colcon acceleration plus PetaLinux/Vitis plus AMD Robotics Software Suite	med	2	2	3	2	No single maintained dev-environment CLI for reproducible ROS 2 container build and flash on AMD	ROS 2 developers onboarding to Kria and ROCm targets	Ship one amd-robotics CLI wrapping container build, flash, deploy and cross-compile	https://www.amd.com/en/products/system-on-modules/kria/ai.html
C097	partial	AMD Robotics Software Suite reference applications plus Vitis Vision and KRS accelerated examples	med	2	2	3	2	No composed multi-node accelerated perception graph examples end to end	Developers assembling full perception pipelines on ROCm or Kria fabric	Publish end-to-end ROS 2 launch examples chaining several accelerated nodes with measured throughput	https://www.amd.com/en/products/system-on-modules/kria/ai.html
C098	partial	OpenNav Robotics Workload Benchmark commissioned by AMD; ros2_benchmark itself runs on AMD hosts	med	2	2	3	3	No reusable AMD-maintained ROS 2 graph benchmark harness or per-node published numbers	Buyers comparing AMD versus Jetson and developers tuning ROS 2 graphs	Contribute AMD plugins and reproducible configs plus results back to ros2_benchmark	https://opennav.org/news/opennav-robotics-workload-benchmark
C099	partial	AMD Developer Cloud GPU instances used for LeRobot Pi0 training	low	2	2	2	2	No one-click cloud deployment of GPU simulation workstations on AMD instances	Teams wanting cloud sim or RL farms without local Instinct hardware	Publish Terraform and CLI recipes that stand up a ROCm simulation workstation on a major cloud	https://rocm.blogs.amd.com/artificial-intelligence/rocm-blogsblogsartificial-in/README.html
C100	native	Upstream Zephyr boards/amd covering kv260_r5, zynqmp_apu/rpu, versal, versal2 and versalnet apu/rpu	high	-	-	-	-	-	-	-	https://github.com/zephyrproject-rtos/zephyr/tree/main/boards/amd
C101	none	-	med	3	1	1	2	No NuttX architecture or board port for AMD Zynq R5 or MicroBlaze V	PX4 and drone developers who would otherwise use an AMD SoC as flight controller	Either upstream a ZynqMP R5 NuttX board port or explicitly point flight-control users at the existing Zephyr AMD ports	https://github.com/apache/nuttx/tree/master/arch/arm/src
C102	partial	Ryzen AI Embedded X100 firm real-time Linux with sub-7us interrupt latency plus PetaLinux RT kernels	med	3	3	3	2	No AMD-published PREEMPT_RT reference config or RT-safe ROCm/NPU submission path	ros2_control users running GPU inference and a hard control loop on one SoC	Publish an RT kernel BSP with cyclictest and ROCm-under-RT jitter numbers for X100	https://www.servethehome.com/amds-physical-ai-plans-come-into-focus-as-company-launches-ryzen-embedded-ai-x100/
C103	community	Xenomai and EVL build on AMD x86-64 and ARM hosts with no AMD packaging or validation	low	3	2	1	1	No AMD-validated co-kernel option for workloads where PREEMPT_RT jitter is insufficient	Motion-control vendors needing hard real-time on Ryzen Embedded	Validate and document Xenomai or EVL on X100 as an alternative to PREEMPT_RT	https://xenomai.org/
C104	partial	IgH master runs on AMD x86 Linux and the Kria robotics platform exposes EtherCAT/TSN ports	med	3	3	3	2	No AMD-maintained or FPGA-offloaded EtherCAT master integrated with the Robotics Software Suite	Industrial servo and motion integrators building on Kria carriers	Publish a validated IgH-on-X100 reference with cycle jitter numbers and a Spartan offload option	https://www.cnx-software.com/2026/07/24/amd-launches-ryzen-ai-embedded-x100-processors-kria-ai-som-and-physical-ai-robotics-developer-platform/
C105	community	SOEM builds and runs unmodified on AMD x86 and ARM Linux hosts	low	3	2	2	1	No AMD packaging or NIC/RT validation of a lightweight embeddable EtherCAT master	Embedded integrators wanting fieldbus control from an AMD SoC without a kernel master	Add SOEM to AMD robotics reference images with a tested NIC and real-time configuration	https://github.com/OpenEtherCATsociety/SOEM
C106	partial	ros2_control runs on X100; AMD cites a Bosch Rexroth controller at 8000 control decisions per second	med	3	3	3	2	No AMD-maintained ros2_control hardware interface for FPGA fabric or EtherCAT I/O	Arm and AMR builders wiring Kria carrier I/O into ROS 2 control	Open-source a ros2_control hardware_interface plugin for the Kria carrier FPGA	https://www.amd.com/en/products/system-on-modules/kria/ai.html
C107	n/a	-	high	-	-	-	-	-	-	-	https://github.com/ros-controls/ros2_controllers
C108	n/a	-	high	-	-	-	-	-	-	-	https://github.com/ros-controls/realtime_tools
C109	n/a	-	high	-	-	-	-	-	-	-	https://rocm.blogs.amd.com/artificial-intelligence/rocm-blogsblogsartificial-in/README.html
C110	n/a	-	high	-	-	-	-	-	-	-	https://github.com/ros2/rclcpp
C111	n/a	-	high	-	-	-	-	-	-	-	https://github.com/ros2/rclpy
C112	n/a	-	high	-	-	-	-	-	-	-	https://github.com/ros2/rmw
C113	n/a	-	high	-	-	-	-	-	-	-	https://github.com/eProsima/Fast-DDS
C114	n/a	-	high	-	-	-	-	-	-	-	https://github.com/eclipse-cyclonedds/cyclonedds
C115	n/a	-	high	-	-	-	-	-	-	-	https://github.com/ros2/rmw_zenoh
C116	n/a	-	high	-	-	-	-	-	-	-	https://github.com/eclipse-zenoh/zenoh
C117	n/a	-	med	-	-	-	-	-	-	-	https://github.com/eclipse-iceoryx/iceoryx
C118	partial	AMD Kria SOM real-time cores plus Ryzen AI Embedded X100 running ROS 2 on Linux	low	3	3	2	1	No AMD-maintained micro-ROS board support package for Zynq/Versal Cortex-R5 or MicroBlaze real-time cores	Safety-island and motor-control firmware teams on AMD adaptive SoCs who must hand-roll XRCE-DDS bring-up	Publish and upstream a micro-ROS BSP for the Kria KR260 R5 cores with a CI job in the micro-ROS build farm	https://newsroom.amd.com/news/aai-2026-robotics-partner-network/
C119	n/a	-	high	-	-	-	-	-	-	-	https://github.com/ros2/geometry2
C120	partial	AMD ROS 2 Perception Node accelerated application plus Vitis Vision libraries	med	3	3	3	3	No drop-in GPU/FPGA-accelerated replacement for the standard image_proc and stereo_image_proc nodes on AMD silicon	ROS 2 perception developers porting Isaac ROS image pipelines who lose rectification and disparity acceleration	Ship ROCm and Vitis backed image_proc and stereo_image_proc nodes with identical topic and parameter contracts to image_pipeline	https://newsroom.amd.com/news/aai-2026-robotics-partner-network/
C121	none	-	med	3	3	3	2	No AMD accelerated point cloud primitive library equivalent to cuPCL for voxel filter ICP segmentation and normals	Mobile robot and 3D perception stacks that bottleneck on CPU PCL filters in the ROS 2 point cloud path	Port the four hottest PCL kernels voxel grid passthrough NDT and ICP to HIP and expose them behind perception_pcl nodelet APIs	https://github.com/ros-perception/perception_pcl
C123	community	TVM ROCm and Vulkan targets plus AMD ROCm CI for MLC-LLM built on TVM Unity	med	3	2	2	2	No AMD-maintained TVM ROCm backend or autotuning schedule database so ROCm targets lag CUDA in tuned kernels	Edge robotics teams compiling perception models AOT for Ryzen AI and Radeon rather than serving them	Stand up a public AMD-hosted TVM ROCm CI runner and publish pre-tuned schedule logs for gfx1100 and gfx942	https://github.com/apache/tvm
C125	native	llama.cpp HIP and ROCm backend with AMD-authored optimization work and Lemonade packaging	high	-	-	-	-	-	-	-	https://rocm.blogs.amd.com/blog/2025.html
C126	partial	AMD Ryzen AI Software with ONNX Runtime Vitis AI EP for NPU plus MIGraphX EP for Radeon	med	2	3	3	2	AMD edge inference is split across three toolchains Ryzen AI Vitis AI and MIGraphX with no single OpenVINO-style CPU iGPU NPU device selector	Embedded robotics integrators who want one model artifact that retargets across AMD CPU iGPU and NPU without rebuilds	Publish one unified device-string API over the Vitis AI and MIGraphX execution providers with a single quantization flow	https://github.com/openvinotoolkit/openvino
C127	native	IREE HIP and ROCm HAL driver with sustained AMD engineering investment	high	-	-	-	-	-	-	-	https://github.com/iree-org/iree
C128	native	vLLM ROCm builds officially supported and co-maintained by AMD on Instinct and Radeon	high	-	-	-	-	-	-	-	https://rocm.blogs.amd.com/blog/2025.html
C129	native	PyTorch ROCm wheels with TorchInductor codegen through Triton on the LLVM AMDGPU backend	high	-	-	-	-	-	-	-	https://siliconanalysts.com/analysis/amd-vs-nvidia-ai-gpu-market-share-2026
C130	n/a	-	med	-	-	-	-	-	-	-	https://github.com/UZ-SLAMLab/ORB_SLAM3
C131	none	-	low	3	2	2	1	RTAB-Map optional acceleration paths assume OpenCV CUDA modules with no HIP or ROCm equivalent build	Warehouse and service robot teams running RGB-D SLAM on AMD APUs who fall back to CPU-only odometry and dense depth	Provide a ROCm-enabled OpenCV container plus an rtabmap build flag validated on Ryzen AI Embedded X100	https://github.com/introlab/rtabmap
C132	n/a	FAST-LIO2 builds and runs on AMD x86 ROS 2 hosts	med	-	-	-	-	-	-	-	https://github.com/hku-mars/FAST_LIO
C133	partial	PCL CPU build on EPYC/Ryzen plus AMD ROS 2 Perception Node	med	3	2	3	2	No HIP/ROCm backend for PCL GPU modules so accelerated filtering and segmentation stays CUDA-only	Perception teams porting lidar pipelines off Jetson/Isaac to AMD edge parts	Port the pcl_gpu octree, segmentation and surface kernels to HIP and upstream as an optional PCL backend	https://pointclouds.org/
C134	partial	OpenCV OpenCL T-API on Radeon/Instinct plus AMD MIVisionX and rocAL primitives	med	3	2	3	2	OpenCV cudaarithm/cudaimgproc module family has no HIP equivalent so GPU CV ops silently fall back to CPU on AMD	Every ROS 2 perception node and VLA data pipeline that assumes cv::cuda	Ship a hipified opencv_contrib cuda-module build in the ROCm robotics container and gate it in CI	corpus:rocmblogsamdcom-3f0bd016ae.txt
C136	partial	CPU-only Autoware install path plus AMD Instinct autonomous-driving training blog	med	3	2	3	3	Autoware perception nodes depend on CUDA/cuDNN/TensorRT with no ROCm or MIGraphX inference backend	AV and AMR integrators wanting an AMD reference autonomy stack	Add a MIGraphX/ONNX Runtime ROCm execution provider option to tensorrt_yolox and the CUDA pointcloud preprocessors	https://docs.autoware.org/main/installation/autoware/source-installation/
C137	partial	MJX-JAX on ROCm JAX runs MuJoCo on AMD GPUs; corpus shows MuJoCo policy work on Ryzen AI MAX+ 395	high	3	3	3	3	Upstream perf investment has moved to MJX-Warp which is NVIDIA-only leaving the AMD path on the slower JAX branch	Anyone doing large-scale parallel RL or sim-to-real on AMD GPUs	Fund an MJX-Warp-equivalent HIP/Triton backend or upstream ROCm kernels and publish MI300X env-steps/sec numbers	corpus:mujocoreadthedocsio-de76e51bc4.txt
C139	n/a	MJCF/URDF asset collection is hardware-neutral and loads under MJX-JAX on AMD	high	-	-	-	-	-	-	-	https://github.com/google-deepmind/mujoco_menagerie
C140	n/a	gz-sim CPU physics with OGRE2 rasterization runs on Radeon via standard OpenGL/Vulkan	med	-	-	-	-	-	-	-	corpus:roboticscenterai-8fb902883a.txt
C142	n/a	Bullet3/PyBullet is a CPU solver and builds natively on EPYC/Ryzen	high	-	-	-	-	-	-	-	corpus:roboticscenterai-8fb902883a.txt
C143	n/a	Drake multibody dynamics is CPU/Eigen based and portable to AMD hosts	med	-	-	-	-	-	-	-	https://drake.mit.edu/
C144	partial	CPU simulation and rendering fallback only; no ROCm GPU physics backend	med	3	3	2	2	SAPIEN GPU physics is PhysX/CUDA so photoreal parallel sensor rendering degrades to CPU on AMD	Manipulation researchers needing photoreal RGB-D sim on AMD workstations	Prototype a Vulkan-compute or HIP rigid-body backend for SAPIEN and validate the Vulkan renderer path on Radeon	https://github.com/haosulab/ManiSkill
C145	none	-	high	3	3	3	3	ManiSkill lists GPU simulation as unsupported on AMD GPUs so the flagship parallel manipulation benchmark cannot run on ROCm	Robot-learning groups benchmarking policies; AMD has no comparable published env-throughput number	Get ManiSkill CPU-sim CI green on ROCm first, then sponsor a ROCm GPU-sim backend via its SAPIEN dependency	https://github.com/haosulab/ManiSkill
C146	community	Brax on ROCm JAX via its mujoco-mjx dependency which supports AMD GPUs	med	3	3	2	2	No AMD-validated Brax build, wheel or throughput benchmark; portability is inherited from XLA not tested by AMD	JAX-based RL users evaluating AMD as a training substrate	Add a Brax smoke test and env-steps/sec benchmark to the ROCm JAX CI matrix	corpus:mujocoreadthedocsio-de76e51bc4.txt
C151	partial	MoveIt 2 explicitly supported by AMD Kria AI Solutions and the AMD Robotics Software Suite	high	3	3	3	3	No ROCm-accelerated MoveIt planner plugin; AMD only runs the CPU planners while cuRobo gives NVIDIA order-of-magnitude planning latency wins	Industrial arm and manipulation vendors choosing compute on planning latency	Ship a HIP/Triton batched collision-checking and trajectory-optimization MoveIt plugin as a cuRobo answer	https://newsroom.amd.com/news/aai-2026-kria-robotics-dev-platform/
C152	n/a	OMPL is a header-heavy CPU planning library that builds on AMD hosts	med	-	-	-	-	-	-	-	https://ompl.kavrakilab.org/
C153	n/a	STOMP runs as a CPU MoveIt 2 plugin on AMD hosts	med	-	-	-	-	-	-	-	corpus:arxivorg-155875afe7.txt
C154	n/a	Pilz industrial motion planner is a CPU MoveIt 2 plugin, vendor-neutral at the compute layer	med	-	-	-	-	-	-	-	https://moveit.ai/documentation/planners/
C155	n/a	Pinocchio is a CPU/Eigen kinematics-dynamics library portable to EPYC and Ryzen	med	-	-	-	-	-	-	-	https://stack-of-tasks.github.io/pinocchio/
C156	partial	Nav2 runs unmodified on AMD ROS 2 hosts alongside the AMD ROS 2 Perception Node	med	3	2	3	2	No AMD equivalent of nvblox/cuVSLAM costmap and localization plugins, so GPU-accelerated navigation layers remain NVIDIA-only	AMR and mobile-robot builders comparing Kria/Ryzen against Jetson on navigation stack completeness	Publish a ROCm or Vitis accelerated costmap-layer and 3D reconstruction plugin for Nav2	corpus:nvidia-isaac-rosgithubio-b4d3888a39.txt
C157	community	Runs via PyTorch on ROCm; AMD has published VLA fine-tuning on MI300X for Pi0, Pi0.5, SmolVLA and ACT but not OpenVLA	med	3	3	3	2	No AMD-validated OpenVLA training or inference recipe, so the most-cited open VLA has no published gfx942/gfx1100 numbers	Researchers reproducing OpenVLA baselines who default to NVIDIA for the reference config	Add OpenVLA-7B fine-tune and inference-Hz runs to the existing ROCm LeRobot/VLA CI and blog the numbers	corpus:rocmblogsamdcom-3f0bd016ae.txt
C158	community	AMD-built ROCm JAX wheels are the only path; no AMD-tested Octo build	low	3	2	2	1	Octo pins a JAX/TPU-oriented dependency stack with no ROCm validation, so Open X-Embodiment generalist baselines are unverified on AMD	Robot-learning teams using Octo as an OXE baseline on non-NVIDIA hardware	Reproduce one Octo eval on ROCm JAX and file upstream fixes for any CUDA-pinned dependencies	https://rocm.docs.amd.com/en/latest/install/rocm.html
C159	partial	Pi0 and Pi0.5 fine-tuning on MI300X plus edge inference on Ryzen AI GPUs via the LeRobot PyTorch port (ROCm edge-to-cloud robotics blog)	high	3	3	3	3	Upstream openpi JAX/CUDA training stack has no ROCm build so AMD users can only reach pi0 through the LeRobot re-implementation	Teams wanting to reproduce or pretrain pi0/pi05 from the official Physical Intelligence repo on AMD silicon	Publish a ROCm-tested openpi container and upstream a ROCm install path plus CI job to Physical-Intelligence/openpi	corpus:rocmblogsamdcom-3f0bd016ae.txt
C160	partial	SmolVLA training and inference on ROCm through LeRobot on MI300X and Ryzen AI (AMD ROCm blog, AMD Open Robotics Hackathon)	high	3	3	3	3	No AMD GPU in upstream LeRobot CI so ROCm-only breakages ship unnoticed (uint8 bilinear interpolate NotImplementedError in SmolVLA resize_with_pad)	Every SmolVLA user on Radeon or Instinct hitting silent ROCm-only regressions between releases	Donate a gfx942 and gfx1100 runner to huggingface/lerobot CI and gate policy tests on it	https://github.com/huggingface/lerobot/issues/4205
C161	partial	ACT policy training and inference on ROCm via LeRobot; independently replicated on Ryzen AI MAX+ 395 by the Datawhale Every Embodied project	high	3	2	3	3	No AMD-published ACT throughput or bimanual teleop reference bring-up, so AMD-vs-Jetson comparisons for ALOHA-class rigs are guesswork	Bimanual imitation-learning teams sizing AMD edge parts against Jetson for teleop data collection	Publish ACT train and inference Hz numbers for Ryzen AI MAX and MI300X alongside a reference bimanual arm bring-up guide	https://datawhalechina.github.io/hello-rocm/05-amd-yes/every-embodied
C162	community	Runs as stock PyTorch through the LeRobot diffusion policy implementation on ROCm; no AMD-published validation or perf reference	med	3	2	3	2	No AMD validation or latency reference for iterative denoising visuomotor policies where the multi-step denoise loop dominates control-loop latency	Manipulation teams needing real-time diffusion policy inference on AMD edge silicon	Add diffusion policy to the ROCm LeRobot example matrix with per-denoise-step latency numbers	https://github.com/huggingface/lerobot
C163	unknown	-	low	3	2	2	1	No documented ROCm build or smoke test for RDT-1B whose custom attention kernels are unverified on AMD	Bimanual diffusion-foundation-model users evaluating AMD for large open-weight policies	Run an RDT-1B inference smoke test on MI300X and publish the kernel and dependency gap list	https://www.roboticscenter.ai/state-of-robotics-2026
C165	unknown	-	low	2	2	2	2	RT-1-X TF/JAX checkpoints have no verified ROCm inference path and RT-2-X was never released at all	Researchers using RT-1-X as the small cross-embodiment baseline in AMD-based comparisons	Validate RT-1-X inference on TensorFlow-ROCm or convert the checkpoint to a PyTorch/LeRobot path and document it	https://www.roboticscenter.ai/vla-models/best-2026
